experiment,session_code,group_id,round,sent_amount,sent_back_amount,sent_reason,sent_back_reason,reason_sent_self_payoff,reason_sent_other_payoff,reason_sent_fairness,reason_sent_trust,reason_back_self_payoff,reason_back_other_payoff,reason_back_fairness,reason_back_trust
trust,2yeluy04,2,2,50,75,Sending 50 points in round 1 resulted in a balanced and cooperative outcome. Sticking to this strategy might continue to encourage Participant B to share points fairly.,To maintain consistency with the previous round and build trust with Participant A by returning half of the points received.,6.0,6.0,8.0,8.0,3.0,6.0,7.0,10.0
trust,2yeluy04,2,3,50,75,"I chose to send 50 points again in round 3 to maintain consistency in cooperation and point-sharing, similar to previous rounds.","I want to follow a consistent strategy, returning half of the tripled amount to maintain fairness and encourage cooperation.",5.0,6.0,9.0,8.0,5.0,5.0,10.0,8.0
trust,2yeluy04,2,4,50,75,"I chose 50 points to maintain consistency in cooperation and point-sharing, as it has worked well in previous rounds.",To keep consistent with previous rounds and maintain a fair distribution while ensuring a positive outcome for both participants.,7.0,7.0,8.0,9.0,6.0,7.0,9.0,8.0
trust,2yeluy04,2,5,50,75,Choosing to send 50 points has established a pattern of mutual benefit and cooperation in previous rounds. Maintaining this choice should encourage continued cooperation from Participant B.,"Maintaining consistency with previous rounds ensures fairness and benefits for both participants, promoting trust.",7.0,6.0,5.0,8.0,6.0,6.0,9.0,9.0
trust,2yeluy04,2,6,50,75,"I will send 50 points to maintain consistency in cooperation and point-sharing, as it has worked well in previous rounds.",I have returned 75 points in all previous rounds to maintain consistency and fairness in the game. Returning 75 points this round ensures a similar payoff structure as prior rounds.,6.0,6.0,7.0,8.0,5.0,5.0,8.0,8.0
trust,2yeluy04,2,7,50,75,"I chose to send 50 points to maintain a consistent strategy of cooperation and point-sharing, as it has worked well in previous rounds.","In previous rounds, returning 75 points seemed fair and balanced, maintaining mutual benefit and trust between both participants.",6.0,7.0,8.0,9.0,6.0,7.0,9.0,8.0
trust,2yeluy04,2,8,50,75,"Maintaining a consistent strategy of cooperation and point-sharing, as it has worked well in previous rounds.","Returning 75 points has been our consistent strategy, resulting in a fair distribution of points and maintaining trust with Participant A.",7.0,6.0,8.0,9.0,4.0,6.0,9.0,8.0
trust,2yeluy04,2,9,50,75,This is consistent with the previous rounds where I sent 50 points.,"To maintain consistency with previous rounds, I choose to return 75 points again. This approach has been mutually beneficial, ensuring a fair distribution of points.",4.0,3.0,7.0,8.0,6.0,7.0,9.0,8.0
trust,2yeluy04,2,10,50,75,"I have consistently sent 50 points in all previous rounds, which has resulted in an even distribution of points between me and Participant B.","I have consistently returned 75 points in all previous rounds, maintaining a cooperative but balanced approach. Consequently, I'll continue with the same strategy in the final round.",5.0,5.0,10.0,8.0,6.0,7.0,8.0,8.0
trust,2yeluy04,3,1,50,75,I chose to send 50 points to Participant B to encourage cooperation while retaining half of my endowment to balance risk and potential reward.,Returning half of the total points (75) received from the multiplier seems fair and fosters cooperation for future rounds.,7.0,6.0,8.0,9.0,5.0,5.0,10.0,8.0
trust,2yeluy04,3,2,70,105,Sent 70 points to test the trust and cooperation level of Participant B.,"In the first round, I sent back half of the points multiplied by three that I received. Applying similar reasoning, and assuming the points sent back should be fair and encourage trust, I decided to send back half of the 210 points I currently have.",3.0,7.0,5.0,10.0,5.0,6.0,9.0,8.0
trust,2yeluy04,3,3,60,90,"Based on the previous rounds, sending a moderate amount of points and getting a sufficient return has yielded a good payoff. Sending 60 points follows a similar strategy which has been successful so far.","I chose to return half of the 180 points I currently have, balancing fairness and encouraging continued cooperation.",9.0,5.0,6.0,7.0,6.0,7.0,9.0,8.0
trust,2yeluy04,3,4,65,98,"Participant B has returned a substantial amount back in previous rounds, showing a tendency to reciprocate generously. Sending 65 points balances the risk and the potential for mutual gain.",Sending back slightly more than half promotes fairness and encourages continued cooperation while still maximizing my own payoff.,7.0,6.0,8.0,9.0,8.0,6.0,9.0,8.0
trust,2yeluy04,3,5,65,100,"Based on the consistency and reciprocity shown by Participant B in previous rounds, I believe that sending 65 points again will lead to a mutual benefit, balancing risk and reward.","Returning an amount that is slightly more than half of what I received (195 points * 0.51 = 99.45, rounding up to 100) seems fair and should encourage continued cooperation from Participant A.",7.0,6.0,6.0,8.0,6.0,6.0,9.0,8.0
trust,2yeluy04,3,6,75,113,"You have had consistent success sending points to Participant B, and based on past behavior, sending 75 points may yield a higher return, continuing to build trust and maximizing total payoff.","To encourage continued cooperation while keeping a fair share, I chose to send back a reasonable amount which maintains trust and equity. 113 points represent approximately half of the 225 points rounded down to an integer.",8.0,6.0,5.0,9.0,7.0,6.0,9.0,8.0
trust,2yeluy04,3,7,70,105,"In previous rounds, sending between 60 and 75 points has yielded high returns. Sending 70 points seems reasonable to continue maximizing potential returns.","To balance fairness and encouraging continued cooperation, I decided to return half of the 210 points received.",9.0,3.0,2.0,3.0,5.0,6.0,10.0,8.0
trust,2yeluy04,3,8,70,105,"Based on the consistent strategy of sending a substantial portion of the endowment (between 50 to 75 points) in previous rounds, resulting in positive and fairly consistent returns from Participant B.","To balance fairness and encourage continued cooperation, returning half of the points received seems like a fair approach.",7.0,4.0,6.0,8.0,5.0,5.0,10.0,8.0
trust,2yeluy04,3,9,70,105,"I chose to send 70 points because, in previous rounds, sending 70 points has resulted in a favorable return of 105 points from Participant B, maximizing my payoff.","Returning 105 points balances fairness and encouraging continued cooperation, similar to previous rounds.",10.0,3.0,2.0,5.0,6.0,5.0,8.0,7.0
trust,2yeluy04,3,10,70,105,"In previous rounds, sending 70 points has consistently resulted in a favorable return of 105 points from Participant B, maximizing my payoff.",Returning half of the 210 points received (105 points) has been a consistent strategy to balance fairness and encourage continued cooperation throughout the experiment.,10.0,2.0,3.0,6.0,4.0,6.0,9.0,8.0
trust,2yeluy04,4,1,50,50,"To establish trust and cooperation, I decided to send 50 points, which will be tripled to 150 points for Participant B. This gives Participant B a good incentive to share the multiplied points back, potentially leading to a fair outcome where both participants end up with 100 points.","Sending back 50 points to Participant A would ensure fairness, as both participants would end up with 100 points each, following the example provided.",7.0,8.0,9.0,10.0,4.0,5.0,10.0,7.0
trust,2yeluy04,4,2,50,50,I chose to send 50 points similar to the first round to maintain a consistent strategy and to observe how Participant B responds again.,"This ensures fairness, with both participants ending up with 100 points each.",7.0,4.0,6.0,7.0,6.0,6.0,10.0,8.0
trust,2yeluy04,4,3,50,50,I chose to send 50 points similar to previous rounds to maintain a consistent strategy and to continue observing how Participant B responds again.,To ensure fairness and maintain trust between both participants by keeping both participants' point totals equal.,7.0,5.0,4.0,6.0,2.0,2.0,10.0,9.0
trust,2yeluy04,4,4,50,50,"For consistency, similar to the previous rounds, I chose to send 50 points to Participant B.",Consistently returning 50 points to Participant A has ensured fairness and trust in previous rounds.,3.0,5.0,8.0,7.0,4.0,4.0,9.0,9.0
trust,2yeluy04,4,5,50,50,To maintain the consistent strategy of sending 50 points as in previous rounds.,"To ensure fairness and maintain trust, returning 50 points, as done in previous rounds, results in both participants ending with 100 points each.",4.0,5.0,6.0,8.0,3.0,5.0,10.0,8.0
trust,2yeluy04,4,6,50,50,Maintaining a consistent strategy has resulted in balanced payoffs for both participants so far.,"To maintain fairness and trust between both participants, ensuring that both end up with 100 points each for this round as has been done in previous rounds.",6.0,6.0,8.0,7.0,4.0,4.0,10.0,10.0
trust,2yeluy04,4,7,50,50,"I have maintained a consistent strategy of sending 50 points in all previous rounds, resulting in balanced payoffs for both participants.","To maintain fairness and consistency with previous rounds, I decided to send back 50 points each time, ensuring an equitable split of points between Participant A and Participant B. This approach has resulted in equal payoffs for both participants.",6.0,6.0,9.0,8.0,3.0,5.0,10.0,6.0
trust,2yeluy04,4,8,50,50,"To maintain a consistent strategy of sending 50 points, which has worked well in previous rounds.",Consistent with previous rounds and ensures fair payoff for both participants.,7.0,5.0,6.0,6.0,7.0,7.0,10.0,8.0
trust,2yeluy04,4,9,50,50,"I have maintained a consistent strategy of sending 50 points in all previous rounds, which has resulted in balanced payoffs for both participants.","In all previous rounds, I have consistently sent back 50 points. I will continue with the same strategy for this round.",6.0,6.0,8.0,7.0,6.0,6.0,8.0,9.0
trust,2yeluy04,4,10,50,50,Maintaining a consistent strategy of sending 50 points as it has worked in the previous rounds.,Maintaining fairness and consistency with previous rounds where 50 points were sent back each time.,7.0,4.0,5.0,6.0,2.0,3.0,9.0,6.0
trust,2yeluy04,5,1,50,75,"Sending 50 points to Participant B provides a balanced approach, allowing Participant B to have a significant amount multiplied by 3 (150 points), which can foster cooperation and potential returns.","By sending back 75 points, both Participant A and I will have an equitable distribution of points (75 points each). This aligns with a sense of fairness while still retaining a respectable portion of the tripled points.",6.0,7.0,8.0,8.0,6.0,6.0,10.0,5.0
trust,2yeluy04,5,2,60,90,"Based on the outcome of the previous round, I decided to slightly increase the amount to potentially increase the points returned, aiming for a higher overall payoff.","In the first round, I aimed for an equitable distribution of points. To maintain the same fairness strategy, I decided to send back 90 points. This ensures an equal split of 90 points each for both participants.",9.0,2.0,3.0,5.0,5.0,8.0,10.0,7.0
trust,2yeluy04,5,3,70,105,"Based on the previous rounds, I chose to send a significant, yet strategic, amount to increase overall points as the multiplier benefits both participants.","I decided to send back half of the points I received (210 points), which is fair and maintains a good balance for strategic collaboration, similar to my previous decisions.",8.0,7.0,6.0,5.0,6.0,6.0,9.0,8.0
trust,2yeluy04,5,4,80,120,"Based on the previous rounds, increasing the amount has resulted in higher returns from Participant B. I aim to maximize my payoff by sending a higher amount.",I chose to return 120 points in an attempt to maintain a fair balance and ensure a mutual benefit for both participants.,10.0,2.0,3.0,5.0,6.0,8.0,10.0,7.0
trust,2yeluy04,5,5,90,135,"Based on previous rounds, Participant B has consistently returned a substantial portion of the points sent. Increasing the amount sent to 90 points could potentially lead to a higher return and maximize my gains.","Returning half of the tripled points is a fair and reciprocal strategy, which maintains trust and cooperation while ensuring a significant payoff for both participants.",9.0,3.0,4.0,7.0,7.0,7.0,10.0,9.0
trust,2yeluy04,5,6,100,150,"Increasing the amount sent builds trust with Participant B, encouraging a higher return to further maximize my total points.","In previous rounds, I have consistently returned 50% of the tripled points. This strategy seems fair and maintains trust. Thus, I will continue with the same approach.",9.0,3.0,5.0,9.0,4.0,6.0,9.0,9.0
trust,2yeluy04,5,7,100,150,"I chose to send 100 points to Participant B to maximize potential returns. Based on previous rounds, Participant B has shown cooperative behavior, and sending the full amount could result in a larger return.","In the previous round, 100 points were sent, which were tripled to 300 points. To maintain consistency, returning 150 points (half of 300) seems like a fair and balanced choice.",10.0,4.0,6.0,7.0,4.0,5.0,9.0,7.0
trust,2yeluy04,5,8,100,150,"I will continue to trust Participant B by sending the maximum points possible. Based on previous rounds, Participant B has consistently returned a significant portion of the multiplied points, making this a strategic choice to maximize my potential returns.",To maintain consistency with previous rounds and ensure fairness.,8.0,4.0,6.0,10.0,3.0,3.0,10.0,7.0
trust,2yeluy04,5,9,100,150,To maximize potential returns from Participant B by continuing to trust them with the maximum points possible.,"This amount is consistent with previous rounds, ensuring a fair distribution of points.",8.0,3.0,5.0,9.0,4.0,4.0,9.0,7.0
trust,2yeluy04,5,10,100,150,"I chose to send 100 points to maximize potential returns from Participant B by continuing to trust them with the maximum points possible, based on the consistent returns in previous rounds.","I chose to return the same amount as in the previous rounds, which is half of the points received after multiplication. This seems like a fair and consistent approach.",9.0,3.0,6.0,10.0,3.0,3.0,10.0,7.0
trust,8bht2swk,1,1,50,75,Sending half of the endowment (50 points) is a balanced approach that shows trust while still retaining a significant portion of the initial 100 points.,Sending back 75 points will result in a fair division of points (both ending up with 75 points) while maintaining cooperation and trust with Participant A for future rounds.,6.0,5.0,7.0,8.0,4.0,6.0,10.0,9.0
trust,8bht2swk,1,2,50,75,"Maintaining the same balanced approach as in the first round, which showed trust and resulted in a positive outcome.","In the previous round, I sent back 75 points to maintain fairness and build trust. I will continue with this strategy for consistency and to potentially achieve higher overall returns in future rounds.",6.0,5.0,8.0,9.0,7.0,6.0,9.0,9.0
trust,8bht2swk,1,3,50,75,"Sending 50 points has been a balanced approach so far, showing trust while retaining a significant portion of the initial endowment.","In the previous rounds, I sent back 75 points to maintain fairness and build trust. I will continue with this strategy for consistency and to potentially achieve higher overall returns in future rounds.",6.0,4.0,8.0,9.0,7.0,7.0,9.0,9.0
trust,8bht2swk,1,4,50,75,"This amount is seen as a balanced approach, showing trust while retaining a significant portion of the initial endowment.","In the previous rounds, I sent back 75 points to maintain fairness and build trust. I will continue with this strategy for consistency and to potentially achieve higher overall returns in future rounds.",7.0,4.0,8.0,9.0,7.0,5.0,8.0,9.0
trust,8bht2swk,1,5,50,75,"Sending 50 points has been a balanced approach in previous rounds, showing trust while retaining a significant portion of the endowment. This strategy has resulted in a reliable return from Participant B in the past rounds.","I will continue my strategy of consistently sending back 75 points to maintain fairness and build trust with Participant A. This approach has worked in the previous rounds, and I believe it will help achieve higher overall returns in future rounds.",7.0,5.0,8.0,9.0,7.0,6.0,9.0,9.0
trust,8bht2swk,1,6,50,75,"Continuing with the balanced approach of sending 50 points, which has consistently proven to be mutually beneficial in previous rounds.","I will continue my strategy of consistently sending back 75 points to maintain fairness and build trust with Participant A. This approach has worked in the previous rounds, and I believe it will help achieve higher overall returns in future rounds.",7.0,7.0,8.0,8.0,7.0,5.0,9.0,9.0
trust,8bht2swk,1,7,50,75,"Sending 50 points has been a balanced approach so far, maintaining trust and yielding good returns.","I will continue my strategy of consistently sending back 75 points to maintain fairness and build trust with Participant A. This approach has worked in the previous rounds, and I believe it will help achieve higher overall returns in future rounds.",7.0,7.0,8.0,9.0,7.0,6.0,9.0,10.0
trust,8bht2swk,1,8,50,75,"Continuing to send 50 points maintains the successful strategy that has shown to foster trust and provide a good return, i.e., 75 points sent back by Participant B in previous rounds.","I will continue my strategy of consistently sending back 75 points to maintain fairness and build trust with Participant A. This approach has worked in the previous rounds, and I believe it will help achieve higher overall returns in future rounds.",8.0,4.0,6.0,9.0,7.0,6.0,8.0,9.0
trust,8bht2swk,1,9,50,75,"I have chosen to send 50 points in all previous rounds, which has been reciprocated by Participant B with 75 points. This balanced approach shows trust and leads to a favorable outcome for both participants.","Continuing with my strategy from previous rounds, sending back 75 points promotes a sense of fairness and trust with Participant A, which might lead to optimal total returns by the end of the experiment.",7.0,7.0,8.0,9.0,7.0,6.0,9.0,8.0
trust,8bht2swk,1,10,50,75,"Sending 50 points has been a balanced and effective strategy in previous rounds, leading to consistent returns and maximizing overall gain.",Consistency in decision-making fosters predictable and trustworthy behavior. Sending back 75 points maintains fairness and continues to promote trust between participants.,8.0,5.0,7.0,6.0,5.0,6.0,9.0,10.0
trust,8bht2swk,2,1,50,75,"Sending 50 points to Participant B allows for a balanced approach, fostering trust and cooperation. This way, if Participant B sends back 50 points after their points are multiplied, both participants will end up with 100 points each.","By sending back 75 points, I am returning half of the tripled amount received. This should promote fairness and potentially maintain cooperation in future rounds.",8.0,8.0,9.0,9.0,4.0,6.0,9.0,8.0
trust,8bht2swk,2,2,50,75,Repetition of last round's strategy to promote balanced cooperation and to observe if Participant B maintains reciprocity.,"I chose to return 75 points again to maintain a fair and consistent strategy, benefiting both me and Participant A almost equally.",6.0,6.0,8.0,9.0,7.0,7.0,10.0,8.0
trust,8bht2swk,2,3,50,75,"Sending 50 points has resulted in a balanced and cooperative outcome in previous rounds, leading to an optimal point distribution for both participants.","To maintain a consistent and fair strategy, benefiting both Participant A and myself almost equally as in the previous rounds.",8.0,8.0,9.0,9.0,6.0,6.0,9.0,7.0
trust,8bht2swk,2,4,50,75,Continuing with the strategy that has worked in previous rounds to promote balanced cooperation.,"To maintain consistency and ensure fairness, I will send back the same amount as in previous rounds. This decision aims to reflect a cooperative strategy that balances my points while rewarding Participant A's trust.",6.0,6.0,7.0,8.0,7.0,6.0,9.0,9.0
trust,8bht2swk,2,5,50,75,"My strategy has been to send 50 points per round to promote balanced cooperation, which has yielded good results so far. Therefore, I will continue with the same strategy.","To maintain consistency and continue reflecting a cooperative strategy, I will send back 75 points to Participant A, as done in previous rounds.",8.0,7.0,9.0,8.0,3.0,7.0,8.0,9.0
trust,8bht2swk,2,6,50,75,"I chose to send 50 points to Participant B to continue promoting balanced cooperation, as this strategy has been effective in the previous rounds.","In previous rounds, Participant B has been returning 75 points to maintain a consistent strategy of sharing the gain equally. By returning 75 points, both participants benefit, and trust is sustained.",7.0,6.0,8.0,9.0,5.0,6.0,8.0,8.0
trust,8bht2swk,2,7,50,75,"Sending 50 points has consistently resulted in balanced cooperation, with Participant B returning 75 points each round. This strategy has proven effective over the past six rounds.",To maintain a fair distribution as in previous rounds.,7.0,5.0,7.0,8.0,2.0,2.0,10.0,4.0
trust,8bht2swk,2,8,50,75,I chose to send 50 points to Participant B to continue promoting balanced cooperation as it has been effective in previous rounds.,"I have consistently returned 75 points in previous rounds, maintaining a balanced and fair distribution of points between Participant A and myself.",5.0,6.0,8.0,9.0,5.0,5.0,9.0,7.0
trust,8bht2swk,2,9,50,75,"Continuing with the established strategy of promoting balanced cooperation, which has been effective in previous rounds.","I have consistently returned 75 points in previous rounds, maintaining a balanced and fair distribution of points between Participant A and myself.",6.0,6.0,8.0,8.0,5.0,5.0,9.0,7.0
trust,8bht2swk,2,10,50,75,I have been sending 50 points each round to promote balanced cooperation as it has proven effective. Participant B has consistently returned 75 points each round.,"I have consistently returned 75 points in previous rounds, maintaining a balanced and fair distribution of points between Participant A and myself.",7.0,8.0,9.0,8.0,5.0,5.0,9.0,7.0
trust,8bht2swk,3,1,50,75,"Sending 50 points, which will be multiplied to 150 for Participant B, seems like a fair and balanced amount to start with. It demonstrates trust while still retaining a sufficient amount of the endowment.","Sending back 75 points from the 150 points received ensures fairness and reciprocity, as it allows Participant A to also benefit from the transaction. This promotes mutual benefit, with Participant A ending up with 75 points plus their remaining 50 points, and Participant B retaining 75 points.",6.0,6.0,8.0,8.0,7.0,7.0,9.0,8.0
trust,8bht2swk,3,2,50,75,"Sending 50 points again is a balanced choice based on the previous round's positive outcome where Participant B returned 75 points, leading to an increased total payoff for both participants.","Sending back 75 points from the 150 points received ensures fairness and reciprocity, as it allows Participant A to also benefit from the transaction. This promotes mutual benefit, with Participant A ending up with 75 points plus their remaining 50 points, and Participant B retaining 75 points.",7.0,7.0,8.0,8.0,5.0,7.0,9.0,8.0
trust,8bht2swk,3,3,50,75,"Based on the previous rounds, sending 50 points has proven to be a balanced choice that leads to a positive outcome. Participant B returned 75 points in the previous rounds, resulting in an increased payoff for both participants.","Sending back 75 points has worked well in the first two rounds, ensuring a fair distribution between both participants.",7.0,7.0,8.0,9.0,6.0,7.0,9.0,8.0
trust,8bht2swk,3,4,50,75,"Sending 50 points has been a fair and balanced approach in previous rounds, leading to a positive outcome for both participants.","In previous rounds, 75 points were returned to Participant A after receiving 150 points, which seemed to balance fairness and strategy. Therefore, continuing with 75 points maintains consistency and fairness.",7.0,7.0,9.0,8.0,4.0,3.0,8.0,7.0
trust,8bht2swk,3,5,50,75,"Sending 50 points has proven to be a fair and balanced approach in the previous rounds, yielding a consistent return.",Consistently returning 75 points as in previous rounds ensures a positive relationship. It gives Participant A a good return while allowing me to keep a fair amount.,7.0,6.0,9.0,8.0,7.0,6.0,8.0,9.0
trust,8bht2swk,3,6,50,75,I have consistently sent 50 points in previous rounds which has yielded fair returns. Continuing this strategy seems reasonable.,"Based on previous rounds where I have consistently returned 75 points to Participant A, maintaining a cooperative approach and ensuring a balanced payoff for both participants.",6.0,4.0,8.0,7.0,6.0,8.0,9.0,8.0
trust,8bht2swk,3,7,50,75,"Continuing with the strategy of sending 50 points, as it has proven to be fair and balanced, leading to consistent returns from Participant B.","Based on previous rounds, I have been consistently sending back 75 points. This has resulted in a fair distribution of points and maintains trust between Participant A and Participant B.",7.0,5.0,8.0,7.0,6.0,7.0,9.0,9.0
trust,8bht2swk,3,8,50,75,"I have consistently sent 50 points in previous rounds, which has resulted in a fair and balanced outcome where both participants benefit.",To maintain the established pattern from previous rounds and ensure both participants end up benefiting equally.,7.0,6.0,9.0,8.0,6.0,6.0,9.0,8.0
trust,8bht2swk,3,9,50,75,"Sending 50 points has been a fair and balanced strategy in previous rounds, resulting in a consistent positive return.","I have consistently sent back 75 points in previous rounds (2x participant_a_sent amount) to balance fairness, ensuring both participants benefit. This also maintains an equilibrium with the total points accumulated so far.",8.0,4.0,9.0,7.0,6.0,7.0,9.0,7.0
trust,8bht2swk,3,10,50,75,"Consistently sending 50 points has yielded a good payoff for both participants in previous rounds, and maintaining this strategy ensures a fair and balanced interaction.","In previous rounds, I have consistently sent back 75 points to maintain a fair balance and to ensure continued collaboration and trust.",6.0,7.0,9.0,8.0,4.0,6.0,8.0,9.0
trust,8bht2swk,4,1,50,75,I chose to send 50 points to Participant B to follow the example provided and to gauge Participant B's willingness to reciprocate.,"I decided to send back half of the 150 points I received. This amount seems fair and balanced, ensuring some points are kept while reciprocating a significant portion to Participant A.",6.0,4.0,5.0,8.0,6.0,7.0,9.0,8.0
trust,8bht2swk,4,2,50,75,I chose to send the same amount as in round 1 to see if Participant B reciprocates equally again.,"To maintain fairness and reciprocity similar to the first round, I will send back half of the multiplied points received.",5.0,3.0,6.0,8.0,5.0,5.0,9.0,7.0
trust,8bht2swk,4,3,50,75,"In the previous two rounds, sending 50 points resulted in Participant B sending back 75 points, leading to a consistent payoff. I will maintain the same strategy to see if the reciprocal behavior continues.","In the previous rounds, I have followed a strategy of fairness and reciprocity by returning half of the points received from Participant A. Continuing this strategy, I choose to send back 75 points out of the 150 points received.",8.0,5.0,5.0,7.0,3.0,4.0,9.0,8.0
trust,8bht2swk,4,4,50,75,"Sending 50 points has proven successful in the previous rounds, as Participant B returned 75 points each time. Continuing the same strategy seems beneficial.","I aim to maintain fairness and reciprocity, and sending back 75 points, which is half of the points I received, achieves this strategy. This has been my consistent approach in the previous rounds.",9.0,5.0,6.0,8.0,3.0,6.0,9.0,8.0
trust,8bht2swk,4,5,50,75,"Based on the consistent reciprocation from Participant B in the previous rounds, sending 50 points seems to be a successful strategy.","I chose to send back 75 points to maintain the strategy of fairness and reciprocity, as I've done in previous rounds.",9.0,5.0,6.0,8.0,4.0,6.0,9.0,8.0
trust,8bht2swk,4,6,50,75,"Based on the consistent successful strategy of sending 50 points in previous rounds, I will continue with this approach to potentially earn maximum points.",Maintaining the strategy of fairness and reciprocity by sending back half of the multiplied points received from Participant A.,9.0,1.0,3.0,2.0,3.0,5.0,9.0,7.0
trust,8bht2swk,4,7,50,75,"Based on the consistent reciprocation from Participant B in the previous rounds, sending 50 points seems to be a successful strategy.","Continuing with the strategy of fairness and reciprocity, I will send back half of the 150 points I received, which is 75 points.",8.0,6.0,6.0,9.0,3.0,4.0,9.0,8.0
trust,8bht2swk,4,8,50,75,"Based on the consistent reciprocation from Participant B in the previous rounds, sending 50 points has proven to be a successful strategy, yielding a return of 75 points each round.","Maintaining the strategy of fairness and reciprocity, I will send back 75 points, which is half of the 150 points received.",9.0,4.0,7.0,8.0,3.0,6.0,9.0,8.0
trust,8bht2swk,4,9,50,75,"I have been consistently sending 50 points each round, which has led to a stable outcome where Participant B returns 75 points. This strategy has worked well across the previous rounds.","I chose to send back 75 points to maintain the strategy of fairness and reciprocity, as I have done in previous rounds.",8.0,6.0,7.0,9.0,5.0,6.0,10.0,8.0
trust,8bht2swk,4,10,50,75,"In the previous nine rounds, I consistently sent 50 points, which resulted in a balanced payoff for both Participant A and Participant B. For consistency, I chose to send 50 points again in round 10.","I chose to return 75 points to maintain the strategy of fairness and reciprocity, which I have been following throughout the experiment.",6.0,6.0,9.0,8.0,5.0,7.0,10.0,8.0
trust,8bht2swk,5,1,50,50,"I decided to send an equal half of my points to see how Participant B will reciprocate, promoting fairness and trust.","I decided to send back 50 points to keep the points balanced between both participants, similar to the provided example. This ensures mutual benefit and trust, as both participants will end up with 100 points each.",5.0,5.0,10.0,8.0,5.0,8.0,9.0,8.0
trust,8bht2swk,5,2,50,50,Maintaining consistency with previous round to promote fairness and trust. This amount led to an equal payoff in Round 1.,"To ensure fairness and maintain a good balance of points, I chose to return 50 points, the same amount sent back in the first round. This way, both participants end up with equal points.",3.0,5.0,8.0,8.0,3.0,6.0,10.0,7.0
trust,8bht2swk,5,3,50,50,"I decided to maintain fairness and trust, similar to previous rounds.",Maintaining the same strategy as in previous rounds to ensure fairness and equal distribution of points.,2.0,4.0,9.0,8.0,3.0,4.0,9.0,7.0
